Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
211,"What is the molarity of a solution containing 5.6g of KOH in a 400 mL solution?","1.0","0.75","0.10","0.25","0.50",3
212,"Calculate the mole fraction of NaCl in a 40% wt NaCl solution.","0.13","4.017","3.333","1.70","no answer",-1
213,"What is the oxidation number of phosphorus in ammonium phosphate, (NH₄)₃PO₄?","+1","+4","+3","+2","+5",4
214,"When equal volumes of four 0.1 mol/dm³ solutions are arranged in order of increasing pH, what is the correct order?","CH₃COOH<HNO₃<CH₃CH₂NH₂<KOH","HNO₃<CH₃COOH<CH₃CH₂NH₂<KOH","CH₃CH₂NH₂<HNO₃<CH₃COOH<KOH","KOH<CH₃CH₂NH₂<CH₃COOH<HNO₃","None of the above",1
215,"What mass of CO₂ could be formed by the reaction of 16.0g of CH₄ with 48.0g of O₂?","44g","1.5 g","33g","16g","None of the above",2
216,"What mass of AgNO₃ (169.9 g/mol) is needed to convert 2.33g of Na₂CO₃ (106 g/mol) to Ag₂CO₃?","0.047g","6.06g","3.47g","7.47g","None of the above",3
217,"Calculate the mass percent of NaCl if 1.75g of NaCl is dissolved in 5.85g of water.","23.0%","32.0%","55.0%","68.0%","77.0%",-1
218,"Which of the following is not a Brønsted-Lowry base?","H₂O","NH₃","OH⁻","BF₃","None of the above",3
219,"What osmotic pressure would a 1.25 m sucrose solution exhibit at 25°C if its density is 1.34 g/mL?","28.6 atm","15 atm","14.3 atm","1.675 atm","None of the above",-1
220,"For 3O₂(g) ⇌ 2O₃(g), Kc=2.9x10⁻⁵⁹. If at equilibrium, [O₃]=0.04M, what is [O₂]?","1.92x10⁻⁵³ M","4.3x10⁻³² M","2.3x10⁻²⁰ M","1.2x10²¹ M","None of the above",-1
221,"What is the molality of a 0.50M H₂SO₄ solution with a density of 1.18 g/mL?","0.442","0.340","0.560","0.470","0.442 m",-1
222,"Calculate the mole fraction of HCl in a 36% by weight HCl solution.","0.182","0.218","0.500","0.782","0.827",-1
223,"Calculate the molarity of concentrated HCl that is 37.7% HCl by mass and has a density of 1.19 g/mL.","11.8 M","12.3 M","13.3 M","15.2 M","16.2 M",-1
224,"What is the pH of a 0.4 M NH₃ solution? (Kb=1.8x10⁻⁵)","0.45","0.55","3.27","11.43","no answer",-1
225,"Calculate the pH of a buffer containing 0.1 M H₃BO₃ and 0.18M NaH₂BO₃. (Ka for H₃BO₃=5.8x10⁻¹⁰)","5.46","9.49","7.4","12.5","None of the above",-1
226,"Which of the given species is a Lewis base?","CO₂","Ca²⁺","F⁻","CH₄","H⁺",2
227,"Which base is the weakest electrolyte?","NaOH","Ca(OH)₂","Mg(OH)₂","Ba(OH)₂","KOH",2
228,"In a pilot study, 10.6g of ethylene (C₂H₄) gave 9.91g of ethylene oxide (C₂H₄O). What is the percentage yield?","37.19%","44.63%","59.50%","67.00%","74.39%",-1
229,"For H₂(g)+I₂(g)⇌2HI(g), at equilibrium [H₂]=0.00220, [I₂]=0.00220, [HI]=0.0156. The value of Kc is:","3.10x10⁻³","1.99x10⁻²","50.3","3.22x10³","None of the above",2
230,"Calculate the pH of a buffer of 0.12 M benzoic acid and 0.2 M sodium benzoate (Ka=6.5x10⁻⁵).","4.00","4.41","4.67","4.33","None of the above",1
231,"How many grams of Na are in 25g of Na₂SO₄? [Na=23, S=32, O=16]","2.10g Na","8.10g Na","8.10g Na","None of the above","None of the above",-1
232,"Which reaction is a disproportionation reaction?","Zn+CuSO₄→ZnSO₄+Cu","2Na+2H₂O→2NaOH+H₂","Cl₂+2NaOH→NaClO+NaCl+H₂O","2NaH→2Na+H₂","None of the above",2
233,"Which of the following does not act as a Brønsted acid?","NH₄⁺","CH₃COO⁻","HCO₃⁻","HSO₄⁻","None of the above",1
234,"What is the concentration of hydroxide ion in a solution if pOH=9?","10⁻⁷","10⁻³","10⁻⁹","10⁻⁵","10⁻¹¹",2
235,"2.82g of glucose (C₆H₁₂O₆) are dissolved in 30g of water. Calculate the mole fraction of glucose.","0.0093","0.0930","0.9079","0.9907","0.3900",0
236,"438mg of limestone (CaCO₃) is treated with oxalic acid to give 472mg of calcium oxalate (CaC₂O₄). What is the % of CaCO₃?","88.7%","84.2%","78.3%","69.6%","84.2%",-1
237,"Which of the following is NOT a redox reaction?","2CrO₄²⁻+2H⁺→Cr₂O₇²⁻+H₂O","Cr₂O₇²⁻+6Fe²⁺+14H⁺→...","2IO₃⁻+12H⁺+10I⁻→...","2MnO₄⁻+6H⁺+5NO₂⁻→...","None of the above",0
238,"For ZnO+CO→Zn+CO₂, what is the max amount of Zn from 75g ZnO and 50g CO? [Zn=65.4, O=16, C=12]","30.1g","45.2g","52.7g","60.3g","62.5g",-1
239,"The transformation Cr³⁺→CrO₄²⁻ is via:","oxidation in basic solution","reduction in acidic solution","reduction in basic solution","oxidation in acidic solution","None of the above",0
240,"A 0.500g mixture of Cu₂O and CuO contains 0.425g Cu. What is the mass of CuO? [O=16, Cu=63.55]","0.18g","0.21g","0.28g","0.32g","0.42g",-1
241,"A 1.37 M citric acid solution in water has a density of 1.10g/cm³. Calculate its molality.","1.37 m","1.60 m","2.30 m","2.70 m","3.00 m",-1
242,"What volume of 0.120M CuSO₄ is required to give 0.150mol of CuSO₄?","12.5 mL","125.00 mL","625 mL","750 mL","1.25 L",4
243,"Calculate the concentration of sodium benzoate needed in a 0.20M benzoic acid solution to produce a pH of 4.0 (Ka=6.5x10⁻⁵).","0.10 M","0.12 M","0.13 M","0.14 M","None of the above",2
244,"The vapor pressure of water at 25°C is 23.8 mmHg. What is the vapor pressure of a solution of 5.67g glucose in 25.2g water?","23.3 mmHg","0.524 mmHg","23.8 mmHg","24 mmHg","22.3 mmHg",0
245,"A substance (0.131g) dissolved in 25.4g water has a molality of 0.056m. What is its molecular weight?","92 amu","96 amu","106 amu","92 amu","None of the above",-1
246,"For 2HI(g)⇌H₂(g)+I₂(g), at equilibrium [HI]=0.078M in a 2.00L flask initially with 0.200mol HI. Calculate Kc.","0.30","0.02","0.4","0.04","0.20",-1
247,"Which reaction is a disproportionation reaction?","3K₂MnO₄+4HCl→2KMnO₄+...","K₂Cr₂O₇+14HCl→...","2KMnO₄+3KNO₂+H₂O→...","KIO₃+Cl₂+2KOH→...","None of the above",0
248,"How many grams of N₂ form when 1.00x10²g of N₂H₄ and 2.00x10²g of N₂O₄ are mixed?","141g N₂","151g N₂","131g N₂","131g N₂","None of the above",-1
249,"How many kilograms of oxygen are required to form 2.80kg of copper(I) oxide (Cu₂O)?","2.15 kg O₂","0.960 kg O₂","1.96 kg O₂","1.98 kg O₂","0.31 kg O₂",-1
250,"For Fe(s)+Cu²⁺→Cu(s)+Fe²⁺, it can be said that:","Fe is the oxidizing agent","Fe is reduced","Cu²⁺ loses electrons","Cu²⁺ is an oxidizing agent","Fe gains electrons",3
251,"In acidic solution, ClO₃⁻ reacts with I₂ to form IO₃⁻ and Cl⁻. The oxidizing agent is:","ClO₃⁻","I₂","Cl⁻","IO₃⁻","none of the above",0
252,"In the balanced reaction of CrO₄²⁻ and HSnO₂⁻ in basic medium, the coefficients for CrO₄²⁻ and HSnO₂⁻ are:","1 and 3","1 and 2","2 and 1","2 and 3","None of the above",3
253,"Calculate the percentage of magnesium in magnesium nitrate, Mg(NO₃)₂ (FW=148.33).","12.5%","16.39%","11.259%","18.359%","None of the above",1
254,"What is the correct solubility product expression for Ag₃PO₄?","Ksp=[3Ag⁺]³[PO₄³⁻]","Ksp=[Ag⁺]³[PO₄³⁻]","Ksp=3[Ag⁺][PO₄³⁻]","Ksp=3[3Ag⁺][PO₄³⁻]","Ksp=[Ag⁺][PO₄³⁻]",1
255,"All of the following are colligative properties except:","lowering of vapour pressure","elevation of boiling point","depression of the freezing point","exhibition of solvent pressure","osmotic pressure",3
256,"Calculate the change in boiling point of water if 1.5g of glycerin (C₃H₈O₃) is dissolved in 47.8g of water. (Kb=0.512°C/m)","0.174°C","0.170°C","0.117°C","0.147°C","None of the above",-1
257,"Which among the following is the strongest base?","ClCH₂CH₂NH₂","BrCH₂CH₂NH₂","FCH₂CH₂NH₂","ICH₂CH₂NH₂","CH₃CH₂NH₂",-1
258,"Which aqueous solution will have the highest pH value?","NaCl","KNO₃","ZnCl₂","Na₂CO₃","None of the above",3
259,"A solution of AlCl₃ in H₂O is:","acidic","basic","neutral","normal","None of the above",0
260,"Calculate the H₃O⁺ concentration of a 0.2M HC₂H₃O₂ solution. (Ka=1.8x10⁻⁵)","1.89x10⁻³ M","4.0x10⁻² M","5.0x10⁻³ M","2.67x10⁻² M","None of the above",0
261,"Which of the following is a buffer?","NaOH + CH₃COONa","NaOH + Na₂SO₄","FeSO₄ + H₂SO₄","NaCN + HCN","None of the above",3
262,"A solution has [H₃O⁺]=3.0x10⁻⁴M. Calculate [OH⁻].","6.01 M","4.656x10⁻¹¹ M","6.01x10⁻¹¹ M","3.3x10⁻¹¹ M","None of the above",3
263,"What is the [H₃O⁺] of 0.1M propanoic acid? (Ka=1.3x10⁻⁵)","1.1x10⁻³ M","3.0x10⁻⁴ M","1.39x10⁻³ M","2.5x10⁻³ M","None of the above",-1
264,"Dimethylamine has a Kb of 5.9x10⁻⁴. What is the pH of 1.5M (CH₃)₂NH?","12.48","10.58","11.65","12.47","None of the above",-1
265,"100g of ethylene glycol (C₂H₆O₂) is added to 4450g of water. What is the boiling point of the solution?","97°C","100.18°C","90°C","100°C","None of the above",1
266,"A reaction A⇌B is in equilibrium when:","complete conversion of A to B has occurred","conversion of A to B is 50% complete","only 10% conversion of A to B has occurred","the rate of transformation of A to B equals the rate of B to A","None of the above",3
267,"According to Le Châtelier's principle, adding heat to a solid and liquid in equilibrium (melting) will cause the:","amount of solid to decrease","amount of liquid to decrease","temperature to rise","temperature to fall","None of the above",0
268,"Which of the following statements is correct?","all Arrhenius acids are Brønsted-Lowry acids","all Brønsted-Lowry bases are Arrhenius bases","all Arrhenius bases are not Brønsted-Lowry bases","All Brønsted-Lowry acids are Lewis acids","an acid-base reaction is a proton acceptor",0
269,"Calculate the volume of 0.30 M HNO₃ required to supply 2.0 mole of HNO₃.","6.7 L","7.0 L","5.6 L","4.9 L","None of the above",0
270,"If glycine exists as NH₃⁺CH₂COO⁻, its conjugate base would be:","NH₃⁺CH₂COOH","NH₂CH₂COO⁻","NH₂CH₂COO⁻","NH₂CH₂COOH","None of the above",1
271,"Calculate the mass of NaOH in 5.0 mL of a 1.0% (m/v) NaOH solution.","0.050g","0.10g","0.50g","1.0 g","None of the above",0
272,"Acrylic acid is 50% C, 5.6% H, and 44.4% O. What is its empirical formula?","C₂H₂O₄","C₂H₃O₂","C₃H₄O₂","C₃H₅O₂","C₃H₄O",-1
273,"A white powder has an empirical formula P₂O₅ and a molar mass of 283.88 g/mol. What is its molecular formula?","P₂O₅","P₂O₁₀","P₄O₁₀","P₅O₁₀","P₁₀O₄",2
274,"The vapor pressure of water at 25°C is 23.8 mmHg. What is the vapor pressure of a solution of 100g sucrose in 1000g water?","0.92 mmHg","55.5 mmHg","23.7 mmHg","1.25 mmHg","no answer",-1
275,"Calculate the moles of Na⁺ ions in 30 cm³ of 1.50M NaCl solution.","0.03 mol","0.045 mol","0.015 mol","0.025 mol","None of the above",1
276,"Which 0.1M aqueous solution has the lowest pH?","Na₂CO₃","Na₃PO₄","Na₂S","NaCl","CH₃COONa",3
277,"Identify the reducing agent in Zn + I₂ → ZnI₂.","Zn","I₂","ZnI₂","none of the above","None of the above",0
278,"What is the molarity of K⁺ in a solution that contains 63.3 mg/L of K₃[Fe(CN)₆]? (Molar mass=329.3 g/mol)","6.22x10⁻³ M","5.77x10⁻⁴ M","6.22x10⁻⁴ M","3.26x10⁻⁴ M","None of the above",-1
279,"In which reaction is a metal not oxidized?","2Na+2H₂O→2NaOH+H₂","Cu→Cu²⁺+2e⁻","Cu²⁺+2e⁻→Cu","Pb+Cu²⁺→Pb²⁺+Cu","None of the above",2
280,"Which is the correct increasing order of acid strength: HF, HCl, HI, HBr?","HCl>HBr>HI>HF","HF<HCl<HBr<HI","HI>HBr>HCl>HF","HBr>HCl>HF>HI","None of the above",1
281,"What is the oxidation state of the underlined element Ba₂XeO₆?","+5","+8","+3","0","None of the above",1
282,"How many grams of Na are in 25g of Na₂SO₄? [Na=23, S=32, O=16]","8.10g","7.08 g","8.10 g","None of the above","None of the above",-1
283,"What is the molarity of K⁺ in a solution that contains 63.3 mg/L of K₃[Fe(CN)₆]? (Molar mass=329.3 g/mol)","6.22x10⁻³ M","5.77x10⁻⁴ M","6.22x10⁻⁴ M","3.26x10⁻⁴ M","None of the above",-1
284,"(Duplicate Question)","",,"",,"",-1
285,"(Duplicate Question)","",,"",,"",-1
286,"(Duplicate Question)","",,"",,"",-1
287,"(Duplicate Question)","",,"",,"",-1
288,"Which set of quantum numbers is not allowed?","n=2, l=1, mₗ=0, mₛ=+1/2","n=1, l=1, mₗ=0, mₛ=+1/2","n=8, l=7, mₗ=-6, mₛ=+1/2","n=1, l=0, mₗ=0, mₛ=+1/2","None of the above",1
289,"How many atoms are bonded to the central atom in a trigonal bipyramidal shape?","3","4","5","7","8",-1
290,"Predict the molecular geometry of PCl₆⁻.","Linear","Tetrahedral","Trigonal bipyramidal","Square planar","Octahedral",4
291,"What is the oxidation number of Cr in HgCr₂O₇?","+1","+2","+4","+5","+6",4
292,"Which reaction is a disproportionation reaction?","3K₂MnO₄+4HCl→...","K₂Cr₂O₇+14HCl→...","2KMnO₄+3KNO₂+H₂O→...","KIO₃+Cl₂+2KOH→...","None of the above",0
293,"What is the empirical formula of a compound with 43.7% P and 56.3% O? [P=31, O=16]","PO₂","P₂O₃","P₃O₅","P₃O","P₂O₅",4
294,"How many grams of Zn are in 0.456 mol of Zn? [Zn=65.39]","29.8g","23.30 g","13.68 g","10.63 g","15.64 g",-1
295,"Which quantum number describes the shape of the orbital?","principal quantum number","azimuthal quantum number","magnetic quantum number","spin quantum number","all of the above",1
296,"NaHSO₄ is an example of a(n):","normal salt","acid salt","basic salt","double salt","complex salt",1
297,"Arrange in order of increasing acidity: NH₃, CH₄, H₂O, HF.","NH₃<CH₄<H₂O<HF","CH₄<NH₃<H₂O<HF","HF<H₂O<NH₃<CH₄","HF<H₂O<CH₄<NH₃","H₂O<HF<NH₃<CH₄",1
298,"Identify the Lewis acid in Ag⁺ + 2NH₃ ⇌ [Ag(NH₃)₂]⁺.","[Ag(NH₃)₂]⁺","(NH₃)₂","Ag⁺","NH₃","none of the above",2
299,"What is the degeneracy of the d-orbital?","1","2","3","5","7",3
300,"The following are covalent hydrides except:","NH₃","CH₄","PH₃","SeH₂","TiH₂",-1
