Level,Semester,Course Code,Course Title,Course Area,Department,Faculty
200 Level,First Semester,EDU 201,Curriculum and Curriculum Delivery,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,GST 212,"Philosophy Logic and Human Existence",Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,GST 312,Peace and Conflict,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,CIT 211,Instructional Materials for Teaching Physics,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,ENT 211,Entrepreneurship and Innovation,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,PHY 201,General Physics V (Modern Physics),Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,PHY 202,Introduction to Electric Circuits and Electronics,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU221,Teaching Methods I,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU222,Philosophy of Education,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU223,"Instructional Technology and Computer in Education",Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,CIT222,Micro Teaching in Physic Education,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,PHY 204,General Physics VI (Waves and Optics),Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,PHY 205,Thermal Physics,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,PHY 206,"General Physics VII (Energy & Environment)",Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,PHY 207,Practical Physics III,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,PHY 208,General Physics Practical,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,PHY 211,Workshop Practice,Physics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,EDU 301,Teaching Practice I,Physics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,EDU 312,Teaching Methods II,Physics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,CIT 311,Research Methods in Physics Education,Physics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,CIT 313,Integrated Curriculum (Science),Physics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,PHY 301,Analytical Mechanics I,Physics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,PHY 303,Electromagnetism,Physics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,EDU321,Educational Research and Statistics,Physics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,EDU322,Guidance and Counseling,Physics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,PHY 304,Electromagnetic Waves and Optics,Physics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,PHY 305,Quantum Physics,Physics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,PHY 306,Statistical and Thermal Physics,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU 401,Teaching Practice II,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU411,Educational Measurement and Evaluation,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU412,Introduction to Educational Management,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,CIT 411,"Science, Society and Technology",Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,CIT 412,Pedagogic Techniques for Teaching Physics,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,PHY 401,Quantum Mechanics I,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,PHY 402,Quantum Physics II,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,EDU 400,Project,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,CIT 421,Physics Laboratory and Management,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,CIT 422,Myths and Misconceptions in Science,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,PHY 403,Mathematical Methods in Physics I,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,PHY 404,Mathematical Methods in Physics II,Physics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,PHY 405,Physics Entrepreneurship,Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,EDU111,History of Education,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,GST 111,Communication in English,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,GST 112,Nigeria Peoples and culture,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CSC110,Introduction to Computer Science,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CIT111,"History, Philosophy and Ethics of Integrated Science",Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,EIS 101,Introduction to Science and Integrated Science Education,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,MTH 101,General Mathematics I,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,GEY 101,Introduction to Geology I,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,PHY 101,General Physics I,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,BIO 101,General Biology I,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,BIO 107,General Biology Practical I,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CHM 101,General Chemistry I (Inorganic),Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,EDU101,Introduction to Teaching and Foundations of Education,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,CHM 102,General Chemistry II (Organic),Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,PHY 102,General Physics II,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,PHY 103,General Physics III,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,BIO 102,General Biology II,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,BIO 108,General Biology Practical II,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU211,Educational Psychology,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU212,Sociology of Education,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 201,Curriculum and Curriculum Delivery,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,GST 212,Philosophy Logic and Human Existence,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,GST 312,Peace and Conflict,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU 401,Supervised Teaching Practice II,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU411,Educational Measurement and Evaluation,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU412,Introduction to Educational Management,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EIS 412,Science, Society and Technology,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,CIT 412,Pedagogic Technique for Teaching Integrated Science,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,EDU400,Project,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
4agencies00 Level,Second Semester,CIT 421,Integrated Science Laboratory and Management,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,CIT 422,Integrated Science Curriculum of Junior Secondary Schools,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,CIT 423,Myths and Misconceptions in Science,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,CIT424,Assessment in integrated science Education,Integrated Science Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,EDU 111,History of Education,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,GST 111,Communication in English,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,GST 112,Nigeria People and Culture,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,SED 101,Introduction to Mathematics and Mathematics Education,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,MTH 101,Elementary Mathematics I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,MTH 102,Elementary Mathematics I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CSC 101,Introduction to Computer Science,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,STA 111,Probability,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,VARIOUS,"2 Courses from Physics or Chemistry or Economics",Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,EDU 101,"Introduction to Teaching and Foundations of Education",Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,CIT 121,Secondary School Mathematics I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,MTH 103,Elementary Mathematics III,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,STA 121,Statistical Inference,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,VARIOUS,"2 Courses from Physics or Chemistry or Economics",Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 211,Educational Psychology,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 212,Sociology of Education,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 201,Curriculum and Curriculum Delivery,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,ENT 211,Entrepreneurship and Innovation,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,GST 212,Philosophy Logic and Human Existence,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,GST 312,Peace and Conflict,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,MTH 201,Mathematical Method I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,MTH 202,Elementary Differential Equations,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,MTH 203,"Set, Logic and Algebra I",Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,MTH 204,Linear Algebra I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,CSC 201,Computer Programming I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,STA 211,Probability II,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU 221,Teaching Method I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU 222,Philosophy of Education,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU 223,"Instructional Technology and Computer Education",Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,CIT 222,Secondary School Mathematics II,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,MTH 205,Linear Algebra II,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,MTH 207,Real Analysis I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,MTH 209,Introduction to Numerical Analysis,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,MTH 210,Vector Analysis,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,STA 221,Statistical Inference II,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,EDU 301,Teaching Practice I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,SED 302,Method of Teaching Mathematics II,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,ENT 312,Venture Creation in Mathematics Education,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,SED 303,Entrepreneurship in Mathematics Education,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,MTH 300,Abstract Algebra I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,MTH 301,Metric Space Topology,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,MTH 302,Ordinary Differential Equation,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,MTH 303,"Vector and Tensor Analysis",Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,MTH 304,Complex Analysis I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,STA 311,Probability III,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,STA 312,Distribution Theory,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,EDU 321,"Research Methods and Statistics",Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,EDU 322,Guidance and Counselling,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,CIT 323,Secondary School Mathematics III,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,MTH 305,Complex Analysis II,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,MTH 306,Abstract Algebra II,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,MTH 307,Real Analysis II,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,MTH 308,Introduction to Mathematical Modeling I,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,MTH 310,Mathematical Methods II,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,STA 321,Statistical Inference III,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU 401,Supervised Teaching Practice II,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU411,Educational Measurement and Evaluation,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU 412,Introduction to Educational Management,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,CIT 412,Mathematical Laboratory Practicals,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,SED 402,"Mathematics, Technology and Society",Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,MTH 401,Theory of Ordinary Differential Equation,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,MTH 402,Theory of Partial Differential Equation,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,MTH 403,Functional Analysis,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,MTH 405,General Topology,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,STA 411,Probability IV,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,EDU 400,Project in Mathematics Education,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,CIT 424,Problem Solving in School Mathematics,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,MTH 407,Mathematical Methods,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,MTH 408,Entrepreneurship in Mathematics,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,STA 413,Statistical Inference IV,Mathematics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,EDU111,History of Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,GST111,Communication in English,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,GST112,Nigerian Peoples and Culture,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,CSC110,Introduction to Computer Science,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,ESS101,"Introduction to Nigerian Social Life and Culture","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,ESS102,Introduction to Sociology,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,SAA101,Ethnography of Nigeria,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,SAA102,Introduction to Physical Geography,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,GEO101,Introduction to Teaching and Foundations of Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,EDU101,Introduction to Civic Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,ESS111,Socio-economic Environment in Nigeria,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,ESS112,"Introduction to Democracy and Democratic Values","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,ESS115,History of World Democracy,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,ESS116,"Family Base and Structure of Society","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,ESS117,Total,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,ESS122,Total,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,EDU 211,Educational Psychology,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,EDU 212,Sociology of Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,EDU 201,Curriculum and Curriculum Delivery,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,GST 212,Philosophy-Logic and Human Existence,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,GST 211,Peace and Conflict,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,ENT 211,Entrepreneurship and innovation,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,ESS211,"Problems of Ethics and Value Education","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,ESS212,"Social Change, Education and Patterns of Nation Building","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,ESS213,Social Issues and Problems in Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,ESS214,Environmental Education and Sustainability,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,EDU221,Teaching Methods I (Teaching Social Studies),"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,EDU222,Philosophy of Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,EDU223,Instructional Technology and Computer in Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,ESS221,Nigeria Socio Political Institutions,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,ESS222,Consumer Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,ESS223,Teaching Social Studies and Civic Education in Nigerian Schools,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,ESS224,Democracy in Nigeria,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,ESS225,Citizenship,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,ESS226,Sexuality and Population Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,EHE222,"Emotional, Mental and Social Health","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,EDU 301,Teaching Practice I,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,EDU 312,Teaching Methods II,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,ESS312,"Politics, Power and Government in Nigeria","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,ESS313,Security and Law Related Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,ESS314,Introduction To Social Care I,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,ENT312,Venture creation,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,EDU321,Educational Research and Statistics,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,EDU322,Guidance and Counseling,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,ESS321,Nationalism and Patriotism in Nigeria,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,ESS322,"Social Studies and Civic Education Theories of Nation Building","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,ESS323,Teaching Methods in Civic and Social Studies Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,ESS324,"Creating and Managing Resource Room for Civic and Social Studies Education","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,ESS325,Entrepreneurship,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,ESS326,"Leadership, Followership and Electoral Processes in Nigeria","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,ESS327,Introduction To Social Care II,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,ESS328,Socialization and Family Life Education,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,SAA324,Urban Sociology,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,EDU 401,Supervised Teaching Practice II,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,EDU411,Educational Measurement and Evaluation,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,EDU 412,Introduction to Educational Management,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,ESS411,International Relations,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,ESS412,Issues in National Development,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,ESS413,"Emerging Social Issues as Priorities and Contents in Civic and Social Studies Education","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,ESS414,The Nigerian Economy,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,EDU400,Research Project,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,ESS421,Social Life and Party Politics in Nigeria,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,ESS422,Nigeria in International Organization,"Social Studies and Civic Education","Curriculm and Instruction Technology","Faculty of Education"
400 Level,Second Semester,ESS423,Field Trip and Long Essay,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,ESS424,Global Development Agenda,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,ESS425,"Challenges and Prospects for Teaching Civic Education in Secondary Schools","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,ESS426,"Colonial Experiences and Development in Africa","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,ESS427,Political History of Nigeria,"Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,ESS428,"Community, Culture and Social Stability","Social Studies and Civic Education","Curriculum and Instruction Technology","Faculty of Education"
Level,Semester,Course Code,Course Title,Course Area,Department,Faculty
100 Level,First Semester,GST 111,Communication in English,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,GST 112,Nigeria Peoples and Culture,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,COS101,Introduction to Computer Science,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,EDU111,History of Education,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,EHE 101,General Biology,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,EHE 111,Foundations of Health Education,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,EHE 112,Adult and Adolescent Health,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,HED 112,Stress Management,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,HED 113,Wellness I,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,HED 114,Health Psychology,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,EDU101,"Introduction to Teaching and Foundations of Education",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,EHE 114,Environmental Health,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,EHE 117,Human Growth and Development,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,EHE 120,"Introduction to Community and Public Health",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,EHE 113,"Personal Health and Dental Education",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,HSE 121,Wellness II,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,HED 123,Healthcare Delivery Systems,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
